Year,Region,disasterType,len
1970,South America,Flood,8
1970,Australia and New Zealand,Storm,1
1970,Western Africa,Flood,1
1970,Southern Asia,Storm,4
1970,Southern Asia,Flood,4
1970,South America,Drought,1
1970,Caribbean,Flood,2
1970,Southern Africa,Drought,1
1970,Northern America,Storm,3
1970,Western Europe,Landslide,3
1970,Eastern Asia,Earthquake,1
1970,Eastern Asia,Storm,2
1970,Western Africa,Epidemic,2
1970,South America,Earthquake,5
1970,Central America,Flood,5
1970,Caribbean,Storm,4
1970,Western Asia,Epidemic,1
1970,Eastern Africa,Epidemic,1
1970,Eastern Asia,Flood,3
1970,Eastern Asia,Wildfire,2
1970,Eastern Europe,Flood,2
1970,South-Eastern Asia,Flood,4
1970,Southern Asia,Earthquake,2
1971,South America,Earthquake,1
1971,Southern Asia,Landslide,1
1971,Southern Asia,Drought,1
1971,Australia and New Zealand,Flood,1
1971,Australia and New Zealand,Storm,1
1971,Western Europe,Flood,1
1971,Southern Asia,Storm,3
1971,South America,Flood,8
1971,Northern America,Storm,3
1971,Northern America,Other,1
1971,South America,Storm,1
1971,Middle Africa,Drought,1
1971,South America,Landslide,3
1971,Southern Europe,Extreme temperature ,1
1971,Southern Europe,Storm,1
1971,Western Africa,Drought,2
1971,Eastern Asia,Storm,4
1971,Eastern Asia,Wildfire,2
1971,Central America,Storm,3
1972,Southern Asia,Flood,2
1972,South America,Extreme temperature ,1
1972,Western Europe,Storm,3
1972,Southern Asia,Storm,5
1972,Southern Africa,Flood,1
1972,South America,Landslide,1
1972,Southern Europe,Flood,1
1972,Melanesia,Storm,6
1972,Northern Europe,Storm,1
1972,Eastern Asia,Landslide,2
1972,Eastern Asia,Wildfire,3
1972,Eastern Asia,Flood,5
1972,Central America,Drought,1
1972,Caribbean,Flood,1
1972,South-Eastern Asia,Drought,1
1973,Eastern Africa,Drought,2
1973,South America,Storm,1
1973,Australia and New Zealand,Flood,1
1973,Southern Asia,Storm,3
1973,Southern Asia,Flood,3
1973,South America,Flood,3
1973,Middle Africa,Flood,1
1973,South America,Landslide,4
1973,Central America,Earthquake,3
1973,Central America,Drought,1
1973,Northern Africa,Flood,3
1973,Southern Europe,Flood,1
1973,Southern Europe,Storm,5
1973,Melanesia,Storm,2
1973,Western Africa,Wildfire,1
1973,Central America,Flood,4
1973,Eastern Asia,Storm,2
1973,Eastern Asia,Wildfire,2
1973,Central America,Landslide,1
1973,South-Eastern Asia,Storm,5
1973,Southern Asia,Extreme temperature ,2
1974,South America,Storm,1
1974,Australia and New Zealand,Storm,2
1974,Australia and New Zealand,Drought,1
1974,Australia and New Zealand,Flood,1
1974,Southern Asia,Storm,5
1974,Southern Asia,Drought,1
1974,Southern Asia,Flood,3
1974,Central America,Storm,3
1974,South America,Flood,3
1974,South America,Landslide,5
1974,South America,Epidemic,1
1974,Northern America,Flood,2
1974,Eastern Asia,Earthquake,2
1974,Eastern Europe,Landslide,1
1974,Western Europe,Storm,1
1974,Northern Africa,Flood,1
1974,Eastern Asia,Storm,5
1974,Eastern Asia,Wildfire,3
1974,Caribbean,Drought,1
1974,South-Eastern Asia,Storm,8
1975,Eastern Asia,Flood,4
1975,South America,Storm,1
1975,Australia and New Zealand,Storm,1
1975,Australia and New Zealand,Wildfire,2
1975,Australia and New Zealand,Flood,1
1975,Western Europe,Landslide,2
1975,South America,Extreme temperature ,2
1975,South America,Epidemic,1
1975,South America,Flood,1
1975,Northern America,Storm,6
1975,Eastern Asia,Earthquake,1
1975,Central America,Other,1
1975,South America,Other,2
1975,Northern Africa,Flood,3
1975,Melanesia,Storm,3
1975,Caribbean,Flood,1
1975,Eastern Asia,Storm,3
1975,Southern Asia,Earthquake,1
1975,Southern Asia,Storm,6
1976,Southern Asia,Earthquake,2
1976,Southern Asia,Flood,3
1976,Australia and New Zealand,Storm,6
1976,Australia and New Zealand,Drought,2
1976,Australia and New Zealand,Flood,2
1976,Western Europe,Storm,6
1976,Western Europe,Drought,1
1976,Western Africa,Epidemic,1
1976,Western Africa,Drought,5
1976,Southern Asia,Storm,8
1976,Northern America,Flood,2
1976,Eastern Asia,Earthquake,2
1976,South America,Landslide,2
1976,South America,Flood,1
1976,Central America,Other,1
1976,Central America,Wildfire,1
1976,Caribbean,Earthquake,1
1976,Northern Europe,Storm,3
1976,South America,Earthquake,2
1976,South America,Other,1
1976,Eastern Africa,Flood,1
1976,Caribbean,Other,1
1976,Central America,Earthquake,1
1976,Micronesia,Storm,1
1976,Eastern Asia,Storm,4
1976,Eastern Asia,Drought,1
1976,Eastern Asia,Flood,2
1976,Central America,Flood,2
1976,South-Eastern Asia,Earthquake,4
1976,South-Eastern Asia,Other,2
1976,South-Eastern Asia,Flood,4
1976,South-Eastern Asia,Storm,4
1977,South-Eastern Asia,Earthquake,3
1977,Western Africa,Drought,1
1977,Caribbean,Drought,1
1977,South America,Earthquake,1
1977,South America,Flood,7
1977,Australia and New Zealand,Storm,2
1977,Australia and New Zealand,Wildfire,2
1977,Australia and New Zealand,Flood,2
1977,Western Africa,Flood,1
1977,Southern Asia,Storm,5
1977,Southern Asia,Epidemic,3
1977,Southern Asia,Flood,5
1977,Eastern Europe,Earthquake,2
1977,South America,Drought,2
1977,South America,Storm,2
1977,Northern America,Drought,1
1977,Northern America,Storm,3
1977,Western Europe,Flood,2
1977,South America,Landslide,1
1977,Eastern Africa,Other,3
1977,Caribbean,Flood,2
1977,Eastern Africa,Flood,5
1977,South America,Epidemic,2
1977,Northern Europe,Flood,2
1977,Western Africa,Epidemic,1
1977,Southern Europe,Flood,3
1977,Eastern Asia,Storm,5
1977,Eastern Asia,Drought,2
1977,Eastern Asia,Flood,6
1977,South-Eastern Asia,Storm,7
1977,South-Eastern Asia,Epidemic,7
1977,South-Eastern Asia,Flood,7
1978,Southern Asia,Flood,8
1978,South America,Flood,6
1978,Australia and New Zealand,Storm,5
1978,Eastern Africa,Epidemic,3
1978,Western Africa,Wildfire,1
1978,Southern Asia,Epidemic,7
1978,Southern Asia,Storm,8
1978,Western Asia,Epidemic,3
1978,Caribbean,Storm,1
1978,Western Europe,Flood,2
1978,Eastern Africa,Flood,5
1978,Southern Europe,Flood,1
1978,Melanesia,Storm,1
1978,Southern Europe,Earthquake,2
1978,South-Eastern Asia,Epidemic,3
1978,South-Eastern Asia,Flood,11
1978,Southern Asia,Extreme temperature ,1
1970,Melanesia,Earthquake,1
1970,Southern Asia,Landslide,2
1970,Western Asia,Landslide,1
1970,Southern Europe,Flood,1
1970,Southern Europe,Storm,1
1970,Northern Africa,Flood,1
1970,Eastern Africa,Storm,1
1970,South-Eastern Asia,Earthquake,1
1970,South-Eastern Asia,Storm,8
1970,Western Asia,Earthquake,2
1970,Northern America,Wildfire,1
1971,Southern Asia,Flood,3
1971,Southern Europe,Earthquake,1
1971,Eastern Africa,Drought,1
1971,South-Eastern Asia,Flood,1
1971,Northern Africa,Drought,1
1971,Eastern Africa,Flood,1
1971,Central America,Other,1
1971,South-Eastern Asia,Storm,6
1971,Melanesia,Landslide,1
1971,Melanesia,Other,1
1971,Middle Africa,Epidemic,1
1971,Western Asia,Earthquake,2
1971,Northern America,Earthquake,1
1972,Southern Asia,Drought,2
1972,Southern Asia,Earthquake,3
1972,Southern Europe,Earthquake,2
1972,Eastern Asia,Storm,1
1972,Micronesia,Storm,1
