Year,disasterType,len,compkey
1970,Flood,31,1970Flood
1970,Storm,24,1970Storm
1970,Drought,2,1970Drought
1970,Landslide,6,1970Landslide
1970,Earthquake,12,1970Earthquake
1970,Epidemic,4,1970Epidemic
1970,Wildfire,3,1970Wildfire
1971,Earthquake,6,1971Earthquake
1971,Landslide,5,1971Landslide
1971,Drought,6,1971Drought
1971,Flood,15,1971Flood
1971,Storm,22,1971Storm
1971,Other,4,1971Other
1971,Extreme temperature ,1,1971Extreme temperature 
1971,Wildfire,2,1971Wildfire
1972,Flood,15,1972Flood
1972,Extreme temperature ,2,1972Extreme temperature 
1972,Storm,26,1972Storm
1972,Landslide,5,1972Landslide
1972,Wildfire,3,1972Wildfire
1972,Drought,4,1972Drought
1973,Drought,3,1973Drought
1973,Storm,22,1973Storm
1973,Flood,20,1973Flood
1973,Landslide,5,1973Landslide
1973,Earthquake,8,1973Earthquake
1973,Wildfire,3,1973Wildfire
1973,Extreme temperature ,3,1973Extreme temperature 
1974,Storm,28,1974Storm
1974,Drought,3,1974Drought
1974,Flood,19,1974Flood
1974,Landslide,10,1974Landslide
1974,Epidemic,2,1974Epidemic
1974,Earthquake,6,1974Earthquake
1974,Wildfire,3,1974Wildfire
1975,Flood,18,1975Flood
1975,Storm,28,1975Storm
1975,Wildfire,2,1975Wildfire
1975,Landslide,5,1975Landslide
1975,Extreme temperature ,3,1975Extreme temperature 
1975,Epidemic,1,1975Epidemic
1975,Earthquake,5,1975Earthquake
1975,Other,4,1975Other
1976,Earthquake,21,1976Earthquake
1976,Flood,17,1976Flood
1976,Storm,36,1976Storm
1976,Drought,10,1976Drought
1976,Epidemic,3,1976Epidemic
1976,Landslide,6,1976Landslide
1976,Other,5,1976Other
1976,Wildfire,1,1976Wildfire
1977,Earthquake,15,1977Earthquake
1977,Drought,13,1977Drought
1977,Flood,48,1977Flood
1977,Storm,32,1977Storm
1977,Wildfire,2,1977Wildfire
1977,Epidemic,22,1977Epidemic
1977,Landslide,3,1977Landslide
1977,Other,5,1977Other
1978,Flood,47,1978Flood
1978,Storm,42,1978Storm
1978,Epidemic,21,1978Epidemic
1978,Wildfire,3,1978Wildfire
1978,Earthquake,9,1978Earthquake
1978,Extreme temperature ,1,1978Extreme temperature 
1971,Epidemic,2,1971Epidemic
1972,Earthquake,7,1972Earthquake
1973,Other,1,1973Other
1977,Extreme temperature ,1,1977Extreme temperature 
1978,Other,4,1978Other
1972,Epidemic,1,1972Epidemic
1974,Other,1,1974Other
1975,Drought,1,1975Drought
1978,Drought,8,1978Drought
1979,Earthquake,23,1979Earthquake
1979,Storm,31,1979Storm
1979,Flood,34,1979Flood
1979,Wildfire,4,1979Wildfire
1979,Epidemic,3,1979Epidemic
1979,Drought,11,1979Drought
1979,Landslide,7,1979Landslide
1979,Extreme temperature ,4,1979Extreme temperature 
1980,Drought,24,1980Drought
1980,Earthquake,17,1980Earthquake
1980,Flood,39,1980Flood
1980,Storm,42,1980Storm
1980,Wildfire,4,1980Wildfire
1980,Epidemic,8,1980Epidemic
1981,Earthquake,15,1981Earthquake
1981,Storm,50,1981Storm
1981,Drought,18,1981Drought
1981,Flood,43,1981Flood
1981,Epidemic,5,1981Epidemic
1981,Wildfire,4,1981Wildfire
1981,Landslide,8,1981Landslide
1981,Extreme temperature ,2,1981Extreme temperature 
1982,Drought,6,1982Drought
1982,Earthquake,15,1982Earthquake
1982,Flood,48,1982Flood
1982,Storm,52,1982Storm
1982,Landslide,12,1982Landslide
1982,Epidemic,7,1982Epidemic
1982,Extreme temperature ,3,1982Extreme temperature 
1982,Wildfire,3,1982Wildfire
1983,Drought,26,1983Drought
1983,Earthquake,25,1983Earthquake
1983,Storm,59,1983Storm
1983,Flood,49,1983Flood
1983,Wildfire,12,1983Wildfire
1983,Epidemic,7,1983Epidemic
1983,Landslide,16,1983Landslide
1983,Other,10,1983Other
1984,Storm,57,1984Storm
1984,Earthquake,13,1984Earthquake
1984,Landslide,6,1984Landslide
1984,Flood,47,1984Flood
1984,Wildfire,7,1984Wildfire
1984,Epidemic,12,1984Epidemic
1984,Drought,6,1984Drought
1984,Other,7,1984Other
1985,Storm,51,1985Storm
1985,Other,6,1985Other
1985,Drought,3,1985Drought
1985,Landslide,6,1985Landslide
1985,Extreme temperature ,8,1985Extreme temperature 
1985,Earthquake,17,1985Earthquake
1985,Flood,58,1985Flood
1985,Wildfire,13,1985Wildfire
1985,Epidemic,13,1985Epidemic
1986,Storm,56,1986Storm
1986,Flood,50,1986Flood
1986,Other,15,1986Other
1986,Epidemic,11,1986Epidemic
1986,Earthquake,21,1986Earthquake
1986,Wildfire,6,1986Wildfire
1986,Extreme temperature ,2,1986Extreme temperature 
1986,Landslide,9,1986Landslide
1986,Drought,4,1986Drought
1987,Earthquake,15,1987Earthquake
1987,Flood,68,1987Flood
1987,Landslide,13,1987Landslide
1987,Epidemic,25,1987Epidemic
1987,Wildfire,8,1987Wildfire
1987,Storm,58,1987Storm
1987,Other,19,1987Other
1987,Drought,15,1987Drought
1987,Extreme temperature ,6,1987Extreme temperature 
1988,Flood,76,1988Flood
1988,Earthquake,15,1988Earthquake
1988,Storm,60,1988Storm
1988,Extreme temperature ,6,1988Extreme temperature 
1988,Epidemic,20,1988Epidemic
1988,Other,25,1988Other
1988,Landslide,15,1988Landslide
1978,Landslide,2,1978Landslide
1979,Other,5,1979Other
1980,Other,3,1980Other
1980,Landslide,4,1980Landslide
1980,Extreme temperature ,3,1980Extreme temperature 
1981,Other,1,1981Other
1982,Other,4,1982Other
1983,Extreme temperature ,2,1983Extreme temperature 
1984,Extreme temperature ,1,1984Extreme temperature 
1988,Drought,17,1988Drought
1989,Flood,46,1989Flood
1989,Earthquake,19,1989Earthquake
1989,Storm,73,1989Storm
1989,Epidemic,16,1989Epidemic
1989,Drought,7,1989Drought
1989,Extreme temperature ,5,1989Extreme temperature 
1989,Landslide,15,1989Landslide
1989,Wildfire,3,1989Wildfire
1990,Drought,20,1990Drought
1990,Earthquake,42,1990Earthquake
1990,Storm,137,1990Storm
1990,Extreme temperature ,13,1990Extreme temperature 
1990,Flood,60,1990Flood
1990,Wildfire,4,1990Wildfire
1990,Other,4,1990Other
1990,Epidemic,18,1990Epidemic
1991,Flood,77,1991Flood
1991,Earthquake,29,1991Earthquake
1991,Storm,66,1991Storm
1991,Extreme temperature ,8,1991Extreme temperature 
1991,Other,14,1991Other
1991,Drought,12,1991Drought
1991,Epidemic,43,1991Epidemic
1991,Landslide,9,1991Landslide
1991,Wildfire,8,1991Wildfire
1992,Flood,59,1992Flood
1992,Storm,76,1992Storm
1992,Earthquake,25,1992Earthquake
1992,Epidemic,28,1992Epidemic
1992,Drought,11,1992Drought
1992,Landslide,8,1992Landslide
1992,Extreme temperature ,7,1992Extreme temperature 
1992,Wildfire,8,1992Wildfire
1992,Other,10,1992Other
1993,Flood,84,1993Flood
1993,Storm,108,1993Storm
1993,Landslide,24,1993Landslide
1993,Other,12,1993Other
1993,Extreme temperature ,4,1993Extreme temperature 
1993,Epidemic,4,1993Epidemic
1993,Wildfire,2,1993Wildfire
1993,Earthquake,20,1993Earthquake
1993,Drought,9,1993Drought
1994,Wildfire,13,1994Wildfire
1994,Storm,81,1994Storm
1994,Landslide,11,1994Landslide
1994,Flood,88,1994Flood
1989,Other,5,1989Other
1990,Landslide,5,1990Landslide
1994,Earthquake,25,1994Earthquake
1994,Other,6,1994Other
1994,Epidemic,10,1994Epidemic
1994,Extreme temperature ,9,1994Extreme temperature 
1994,Drought,12,1994Drought
1995,Flood,94,1995Flood
1995,Drought,6,1995Drought
1995,Storm,81,1995Storm
1995,Landslide,16,1995Landslide
1995,Epidemic,25,1995Epidemic
1995,Extreme temperature ,13,1995Extreme temperature 
1995,Wildfire,7,1995Wildfire
1995,Earthquake,26,1995Earthquake
1996,Flood,92,1996Flood
1996,Storm,77,1996Storm
1996,Earthquake,13,1996Earthquake
1996,Epidemic,45,1996Epidemic
1996,Landslide,24,1996Landslide
1996,Extreme temperature ,5,1996Extreme temperature 
1997,Flood,95,1997Flood
1997,Earthquake,23,1997Earthquake
1997,Storm,79,1997Storm
1997,Landslide,13,1997Landslide
1997,Drought,17,1997Drought
1997,Wildfire,16,1997Wildfire
1997,Epidemic,62,1997Epidemic
1997,Extreme temperature ,13,1997Extreme temperature 
1998,Earthquake,30,1998Earthquake
1998,Flood,94,1998Flood
1998,Epidemic,74,1998Epidemic
1998,Storm,88,1998Storm
1998,Extreme temperature ,12,1998Extreme temperature 
1998,Landslide,22,1998Landslide
1998,Wildfire,18,1998Wildfire
1995,Other,9,1995Other
1996,Drought,7,1996Drought
1996,Other,5,1996Other
1996,Wildfire,5,1996Wildfire
1997,Other,5,1997Other
1998,Other,5,1998Other
1998,Drought,20,1998Drought
1999,Storm,106,1999Storm
1999,Flood,122,1999Flood
1999,Earthquake,33,1999Earthquake
1999,Wildfire,22,1999Wildfire
1999,Epidemic,76,1999Epidemic
1999,Landslide,18,1999Landslide
1999,Drought,26,1999Drought
2000,Flood,157,2000Flood
2000,Drought,25,2000Drought
2000,Storm,102,2000Storm
2000,Epidemic,113,2000Epidemic
2000,Landslide,28,2000Landslide
2000,Extreme temperature ,30,2000Extreme temperature 
2000,Wildfire,30,2000Wildfire
2000,Other,8,2000Other
2000,Earthquake,30,2000Earthquake
2001,Extreme temperature ,23,2001Extreme temperature 
2001,Flood,157,2001Flood
2001,Storm,105,2001Storm
2001,Epidemic,69,2001Epidemic
2001,Earthquake,25,2001Earthquake
1999,Other,5,1999Other
1999,Extreme temperature ,8,1999Extreme temperature 
2001,Landslide,24,2001Landslide
2001,Drought,22,2001Drought
2001,Wildfire,14,2001Wildfire
2002,Earthquake,37,2002Earthquake
2002,Flood,172,2002Flood
2002,Landslide,20,2002Landslide
2002,Storm,122,2002Storm
2002,Drought,24,2002Drought
2002,Epidemic,112,2002Epidemic
2002,Extreme temperature ,15,2002Extreme temperature 
2002,Wildfire,22,2002Wildfire
2003,Flood,158,2003Flood
2003,Wildfire,14,2003Wildfire
2003,Storm,86,2003Storm
2003,Epidemic,32,2003Epidemic
2001,Other,8,2001Other
2002,Other,8,2002Other
2003,Earthquake,40,2003Earthquake
2003,Landslide,21,2003Landslide
2003,Extreme temperature ,25,2003Extreme temperature 
2003,Drought,14,2003Drought
2004,Flood,128,2004Flood
2004,Storm,124,2004Storm
2004,Drought,11,2004Drought
2004,Extreme temperature ,16,2004Extreme temperature 
2004,Earthquake,42,2004Earthquake
2004,Epidemic,43,2004Epidemic
2004,Other,18,2004Other
2005,Storm,130,2005Storm
2005,Flood,193,2005Flood
2005,Wildfire,13,2005Wildfire
2003,Other,2,2003Other
2004,Landslide,15,2004Landslide
2004,Wildfire,8,2004Wildfire
2005,Earthquake,25,2005Earthquake
2005,Other,8,2005Other
2005,Epidemic,56,2005Epidemic
2005,Landslide,13,2005Landslide
2006,Storm,76,2006Storm
2006,Earthquake,24,2006Earthquake
2006,Flood,226,2006Flood
2005,Drought,20,2005Drought
2005,Extreme temperature ,40,2005Extreme temperature 
2006,Drought,9,2006Drought
2006,Landslide,20,2006Landslide
2006,Epidemic,54,2006Epidemic
2006,Wildfire,9,2006Wildfire
2006,Extreme temperature ,14,2006Extreme temperature 
2006,Other,14,2006Other
