Year,Region,disasterType,len
1970,South America,Flood,1
1970,Australia and New Zealand,Storm,1
1970,Western Africa,Flood,1
1970,Southern Asia,Storm,1
1970,Southern Asia,Flood,1
1970,South America,Drought,1
1970,Caribbean,Flood,1
1970,Southern Africa,Drought,1
1970,Northern America,Storm,1
1970,Western Europe,Landslide,1
1970,Eastern Asia,Earthquake,1
1970,Eastern Asia,Storm,1
1970,Western Africa,Epidemic,1
1970,South America,Earthquake,1
1970,Central America,Flood,1
1970,Caribbean,Storm,1
1970,Western Asia,Epidemic,1
1970,Eastern Africa,Epidemic,1
1970,Eastern Asia,Flood,1
1970,Eastern Asia,Wildfire,1
1970,Eastern Europe,Flood,1
1970,South-Eastern Asia,Flood,1
1970,Southern Asia,Earthquake,1
1971,South America,Earthquake,1
1971,Southern Asia,Landslide,1
1971,Southern Asia,Drought,1
1971,Australia and New Zealand,Flood,1
1971,Australia and New Zealand,Storm,1
1971,Western Europe,Flood,1
1971,Southern Asia,Storm,1
1971,South America,Flood,1
1971,Northern America,Storm,1
1971,Northern America,Other,1
1971,South America,Storm,1
1971,Middle Africa,Drought,1
1971,South America,Landslide,1
1971,Southern Europe,Extreme temperature ,1
1971,Southern Europe,Storm,1
1971,Western Africa,Drought,1
1971,Eastern Asia,Storm,1
1971,Eastern Asia,Wildfire,1
1971,Central America,Storm,1
1972,Southern Asia,Flood,1
1972,South America,Extreme temperature ,1
1972,Western Europe,Storm,1
1972,Southern Asia,Storm,1
1972,Southern Africa,Flood,1
1972,South America,Landslide,1
1972,Southern Europe,Flood,1
1972,Melanesia,Storm,1
1972,Northern Europe,Storm,1
1972,Eastern Asia,Landslide,1
1972,Eastern Asia,Wildfire,1
1972,Eastern Asia,Flood,1
1972,Central America,Drought,1
1972,Caribbean,Flood,1
1972,South-Eastern Asia,Drought,1
1973,Eastern Africa,Drought,1
1973,South America,Storm,1
1973,Australia and New Zealand,Flood,1
1973,Southern Asia,Storm,1
1973,Southern Asia,Flood,1
1973,South America,Flood,1
1973,Middle Africa,Flood,1
1973,South America,Landslide,1
1973,Central America,Earthquake,1
1973,Central America,Drought,1
1973,Northern Africa,Flood,1
1973,Southern Europe,Flood,1
1973,Southern Europe,Storm,1
1973,Melanesia,Storm,1
1973,Western Africa,Wildfire,1
1973,Central America,Flood,1
1973,Eastern Asia,Storm,1
1973,Eastern Asia,Wildfire,1
1973,Central America,Landslide,1
1973,South-Eastern Asia,Storm,1
1973,Southern Asia,Extreme temperature ,1
1974,South America,Storm,1
1974,Australia and New Zealand,Storm,1
1974,Australia and New Zealand,Drought,1
1974,Australia and New Zealand,Flood,1
1974,Southern Asia,Storm,1
1974,Southern Asia,Drought,1
1974,Southern Asia,Flood,1
1974,Central America,Storm,1
1974,South America,Flood,1
1974,South America,Landslide,1
1974,South America,Epidemic,1
1974,Northern America,Flood,1
1974,Eastern Asia,Earthquake,1
1974,Eastern Europe,Landslide,1
1974,Western Europe,Storm,1
1974,Northern Africa,Flood,1
1974,Eastern Asia,Storm,1
1974,Eastern Asia,Wildfire,1
1974,Caribbean,Drought,1
1974,South-Eastern Asia,Storm,1
1975,Eastern Asia,Flood,1
1975,South America,Storm,1
1975,Australia and New Zealand,Storm,1
1975,Australia and New Zealand,Wildfire,1
1975,Australia and New Zealand,Flood,1
1975,Western Europe,Landslide,1
1975,South America,Extreme temperature ,1
1975,South America,Epidemic,1
1975,South America,Flood,1
1975,Northern America,Storm,1
1975,Eastern Asia,Earthquake,1
1975,Central America,Other,1
1975,South America,Other,1
1975,Northern Africa,Flood,1
1975,Melanesia,Storm,1
1975,Caribbean,Flood,1
1975,Eastern Asia,Storm,1
1975,Southern Asia,Earthquake,1
1975,Southern Asia,Storm,1
1976,Southern Asia,Earthquake,1
1976,Southern Asia,Flood,1
1976,Australia and New Zealand,Storm,1
1976,Australia and New Zealand,Drought,1
1976,Australia and New Zealand,Flood,1
